open_time,open,high,low,close,volume
2026-04-14 16:30:00,75253.23,75287.31,75100.34,75208.5,232.59184
2026-04-14 16:45:00,75208.5,75233.07,74527.02,74652.2,414.16424
2026-04-14 17:00:00,74652.2,74821.52,74580.64,74793.84,229.3183
2026-04-14 17:15:00,74793.84,74948.78,74632.22,74632.23,168.78122
2026-04-14 17:30:00,74632.23,74689.99,74244.63,74550.05,377.90961
2026-04-14 17:45:00,74550.05,74766.0,74544.0,74748.9,209.96987
2026-04-14 18:00:00,74748.89,74814.99,74613.71,74676.0,110.48056
2026-04-14 18:15:00,74675.99,74744.0,74444.75,74524.36,311.02509
2026-04-14 18:30:00,74524.36,74570.38,74150.0,74298.3,270.82163
2026-04-14 18:45:00,74298.29,74343.57,73795.47,74093.19,921.65234
2026-04-14 19:00:00,74093.18,74398.43,74057.19,74262.61,284.003
2026-04-14 19:15:00,74262.6,74368.63,73882.79,74160.34,237.69875
2026-04-14 19:30:00,74160.34,74273.67,74038.01,74119.19,268.66218
2026-04-14 19:45:00,74119.19,74266.55,74089.53,74223.18,264.32953
2026-04-14 20:00:00,74223.3,74434.33,74220.64,74413.65,168.71937
2026-04-14 20:15:00,74413.66,74431.58,74124.0,74187.72,83.52237
2026-04-14 20:30:00,74187.72,74276.0,74134.85,74250.0,53.24843
2026-04-14 20:45:00,74249.99,74301.69,74015.53,74102.29,128.76254
2026-04-14 21:00:00,74102.28,74294.0,74102.28,74206.8,63.86695
2026-04-14 21:15:00,74206.8,74206.81,74055.0,74125.99,78.06839
2026-04-14 21:30:00,74125.99,74146.68,73951.64,74016.8,120.41867
2026-04-14 21:45:00,74016.8,74320.44,73986.01,74277.15,118.70963
2026-04-14 22:00:00,74277.16,74373.19,74132.14,74310.94,174.37966
2026-04-14 22:15:00,74310.93,74310.93,73902.34,73911.82,141.73976
2026-04-14 22:30:00,73911.83,74085.62,73806.09,73970.0,175.81349
2026-04-14 22:45:00,73970.0,74123.94,73964.07,74023.15,146.81312
2026-04-14 23:00:00,74023.16,74160.82,74001.08,74094.8,148.36703
2026-04-14 23:15:00,74094.8,74222.31,74050.0,74107.38,146.46007
2026-04-14 23:30:00,74107.38,74206.15,74037.12,74136.15,172.99248
2026-04-14 23:45:00,74136.16,74232.83,74035.92,74131.55,233.89489
2026-04-15 00:00:00,74131.55,74677.19,74126.32,74542.32,275.27521
2026-04-15 00:15:00,74542.33,74642.78,74392.38,74584.95,232.89601
2026-04-15 00:30:00,74584.95,74606.0,74445.15,74554.89,241.53906
2026-04-15 00:45:00,74554.89,74597.44,74434.51,74568.36,125.28837
